problem,search,heuristic,result
airport01,astar,hmax,8
airport02,astar,hmax,9
airport03,astar,hmax,17
airport04,astar,hmax,20
airport05,astar,hmax,21
airport06,astar,hmax,41
airport07,astar,hmax,41
airport08,astar,hmax,62
blocks01,astar,hmax,6
blocks02,astar,hmax,10
blocks03,astar,hmax,6
blocks04,astar,hmax,12
blocks05,astar,hmax,10
blocks06,astar,hmax,16
blocks07,astar,hmax,12
blocks08,astar,hmax,10
blocks09,astar,hmax,20
depot01,astar,hmax,10
depot02,astar,hmax,15
gripper01,astar,hmax,11
gripper02,astar,hmax,17
gripper03,astar,hmax,23
gripper04,astar,hmax,29
logistics01,astar,hmax,20
logistics02,astar,hmax,19
logistics03,astar,hmax,15
logistics04,astar,hmax,27
logistics05,astar,hmax,17
logistics06,astar,hmax,8
logistics08,astar,hmax,14
miconic01,astar,hmax,4
miconic02,astar,hmax,7
miconic03,astar,hmax,10
miconic04,astar,hmax,14
miconic05,astar,hmax,17
miconic06,astar,hmax,19
movie01,astar,hmax,7
movie02,astar,hmax,7
movie03,astar,hmax,7
movie04,astar,hmax,7
movie05,astar,hmax,7
movie06,astar,hmax,7
movie07,astar,hmax,7
movie08,astar,hmax,7
movie09,astar,hmax,7
newspapers01,astar,hmax,6
newspapers02,astar,hmax,9
newspapers03,astar,hmax,12
openstacks01,astar,hmax,17
openstacks02,astar,hmax,20
openstacks03,astar,hmax,23
parcprinter01,astar,hmax,8
parcprinter02,astar,hmax,15
parcprinter03,astar,hmax,22
parcprinter04,astar,hmax,29
pegsol01,astar,hmax,5
pegsol02,astar,hmax,9
pegsol03,astar,hmax,9
pegsol04,astar,hmax,10
pegsol05,astar,hmax,11
pegsol06,astar,hmax,12
pegsol07,astar,hmax,12
pegsol08,astar,hmax,16
pegsol09,astar,hmax,15
psr-small01,astar,hmax,8
psr-small02,astar,hmax,11
psr-small03,astar,hmax,11
psr-small04,astar,hmax,10
psr-small05,astar,hmax,11
psr-small06,astar,hmax,8
psr-small07,astar,hmax,11
psr-small08,astar,hmax,8
psr-small09,astar,hmax,8
rovers01,astar,hmax,10
rovers02,astar,hmax,8
rovers03,astar,hmax,11
rovers04,astar,hmax,8
satellite01,astar,hmax,9
satellite02,astar,hmax,13
satellite03,astar,hmax,11
scanalyzer01,astar,hmax,6
sokoban01,astar,hmax,49
sokoban02,astar,hmax,35
sokoban03,astar,hmax,51
sokoban04,astar,hmax,107
sokoban05,astar,hmax,25
sokoban06,astar,hmax,35
sokoban07,astar,hmax,69
sokoban09,astar,hmax,88
tpp01,astar,hmax,5
tpp02,astar,hmax,8
tpp03,astar,hmax,11
tpp04,astar,hmax,14
tpp05,astar,hmax,19
transport01,astar,hmax,5
transport02,astar,hmax,12
travel02,astar,hmax,4
travel03,astar,hmax,7
travel04,astar,hmax,6
travel05,astar,hmax,5
travel06,astar,hmax,4
travel07,astar,hmax,8
travel08,astar,hmax,4
woodworking01,astar,hmax,9
woodworking02,astar,hmax,9
