problem,search,heuristic,result
airport01,f1,hmax,8
airport02,f1,hmax,9
airport03,f1,hmax,17
airport04,f1,hmax,20
airport05,f1,hmax,21
airport06,f1,hmax,41
airport07,f1,hmax,41
blocks01,f1,hmax,6
blocks02,f1,hmax,10
blocks03,f1,hmax,6
blocks04,f1,hmax,14
blocks05,f1,hmax,10
blocks06,f1,hmax,16
blocks07,f1,hmax,18
blocks08,f1,hmax,10
blocks09,f1,hmax,22
depot01,f1,hmax,11
depot02,f1,hmax,20
gripper01,f1,hmax,11
gripper02,f1,hmax,17
logistics01,f1,hmax,20
logistics02,f1,hmax,25
logistics03,f1,hmax,15
logistics04,f1,hmax,31
logistics05,f1,hmax,19
logistics06,f1,hmax,8
logistics08,f1,hmax,16
miconic01,f1,hmax,4
miconic02,f1,hmax,8
miconic03,f1,hmax,11
miconic04,f1,hmax,15
miconic05,f1,hmax,18
miconic06,f1,hmax,21
movie01,f1,hmax,7
movie02,f1,hmax,7
movie03,f1,hmax,7
movie04,f1,hmax,7
movie05,f1,hmax,7
movie06,f1,hmax,7
movie07,f1,hmax,7
movie08,f1,hmax,7
movie09,f1,hmax,7
newspapers01,f1,hmax,6
newspapers02,f1,hmax,9
openstacks01,f1,hmax,20
openstacks02,f1,hmax,24
parcprinter01,f1,hmax,8
parcprinter02,f1,hmax,15
parcprinter03,f1,hmax,22
parcprinter04,f1,hmax,29
pegsol01,f1,hmax,5
pegsol02,f1,hmax,9
pegsol03,f1,hmax,9
pegsol04,f1,hmax,13
pegsol05,f1,hmax,11
pegsol06,f1,hmax,12
pegsol07,f1,hmax,14
pegsol09,f1,hmax,16
psr-small01,f1,hmax,8
psr-small02,f1,hmax,11
psr-small03,f1,hmax,11
psr-small04,f1,hmax,10
psr-small05,f1,hmax,11
psr-small06,f1,hmax,8
psr-small07,f1,hmax,11
psr-small08,f1,hmax,8
psr-small09,f1,hmax,8
rovers01,f1,hmax,10
rovers02,f1,hmax,8
rovers03,f1,hmax,12
rovers04,f1,hmax,8
satellite01,f1,hmax,9
scanalyzer01,f1,hmax,6
sokoban01,f1,hmax,49
sokoban02,f1,hmax,41
sokoban03,f1,hmax,51
sokoban06,f1,hmax,35
tpp01,f1,hmax,5
tpp02,f1,hmax,8
tpp03,f1,hmax,11
tpp04,f1,hmax,14
transport01,f1,hmax,5
transport02,f1,hmax,22
travel02,f1,hmax,4
travel03,f1,hmax,7
travel04,f1,hmax,7
travel05,f1,hmax,5
travel06,f1,hmax,4
travel08,f1,hmax,4
woodworking01,f1,hmax,9
woodworking02,f1,hmax,10
airport01,f1,hdiff,8
airport02,f1,hdiff,9
airport03,f1,hdiff,17
airport04,f1,hdiff,20
airport05,f1,hdiff,21
airport06,f1,hdiff,41
airport07,f1,hdiff,41
blocks01,f1,hdiff,10
blocks02,f1,hdiff,10
blocks03,f1,hdiff,6
blocks04,f1,hdiff,12
blocks05,f1,hdiff,10
blocks06,f1,hdiff,20
blocks07,f1,hdiff,22
blocks08,f1,hdiff,18
blocks09,f1,hdiff,32
depot01,f1,hdiff,11
depot02,f1,hdiff,16
gripper01,f1,hdiff,15
gripper02,f1,hdiff,23
gripper03,f1,hdiff,31
gripper04,f1,hdiff,39
logistics01,f1,hdiff,28
logistics02,f1,hdiff,25
logistics03,f1,hdiff,16
logistics04,f1,hdiff,38
logistics05,f1,hdiff,21
logistics06,f1,hdiff,10
logistics08,f1,hdiff,16
miconic01,f1,hdiff,4
miconic02,f1,hdiff,8
miconic03,f1,hdiff,11
miconic04,f1,hdiff,16
miconic05,f1,hdiff,19
miconic06,f1,hdiff,22
movie01,f1,hdiff,7
movie02,f1,hdiff,7
movie03,f1,hdiff,7
movie04,f1,hdiff,7
movie05,f1,hdiff,7
movie06,f1,hdiff,7
movie07,f1,hdiff,7
movie08,f1,hdiff,7
movie09,f1,hdiff,7
newspapers01,f1,hdiff,7
newspapers02,f1,hdiff,11
newspapers03,f1,hdiff,15
openstacks01,f1,hdiff,17
openstacks02,f1,hdiff,20
openstacks03,f1,hdiff,23
parcprinter01,f1,hdiff,11
parcprinter02,f1,hdiff,18
parcprinter03,f1,hdiff,22
parcprinter04,f1,hdiff,32
pegsol01,f1,hdiff,5
